,Player,Tm,G,Pos,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,PTS_VAR,TRB_VAR,AST_VAR,STL_VAR,BLK_VAR,FG%_VAR,3P%_VAR,FT%_VAR,TOT_VAR
17,Austin Reaves,LAL,82,SG,23.5,6.4,8.1,1.2,0.5,0.486,0.367,0.853,0.18,0.16,1.44,-0.64,-0.48,0.91,-0.12,0.79,4.72
18,Ayo Dosunmu,CHI,76,SG,20.8,4.9,5.5,1.5,0.8,0.501,0.403,0.81,-0.25,-0.66,0.25,0.0,0.24,1.34,0.62,0.2,3.56
19,Bam Adebayo,MIA,71,C,28.2,15.2,5.7,1.7,1.4,0.521,0.357,0.755,1.02,0.11,0.71,0.77,-0.34,-0.65,0.15,0.16,3.91
20,Bennedict Mathurin,IND,59,SF,26.3,7.2,3.7,1.1,0.4,0.446,0.374,0.821,1.21,0.0,0.1,-0.6,-0.61,-0.2,0.33,0.33,3.38
21,Bilal Coulibaly,WAS,63,SF,14.5,7.0,3.0,1.6,1.3,0.435,0.346,0.702,-0.84,-0.08,-0.35,0.4,1.23,-0.48,-0.2,-1.08,4.66
22,Blake Wesley,SAS,61,SG,14.5,5.1,9.0,1.6,0.5,0.474,0.218,0.667,-1.26,-0.55,1.85,0.21,-0.48,0.57,-3.2,-1.76,9.88
23,Bobby Portis,MIL,82,PF,27.0,14.5,2.5,1.6,0.8,0.508,0.407,0.79,0.66,1.95,-0.66,0.76,-0.27,0.65,0.49,0.49,5.93
24,Bogdan BogdanoviÄ,ATL,79,SG,26.6,5.4,4.9,1.9,0.5,0.428,0.374,0.921,0.68,-0.38,-0.02,0.85,-0.48,-0.74,0.02,1.72,4.89
25,Brandin Podziemski,GSW,74,SG,16.8,10.5,6.7,1.5,0.3,0.454,0.385,0.633,-0.89,2.41,0.8,0.0,-0.96,0.0,0.25,-2.23,7.54
26,Brandon Ingram,NOP,64,SF,31.1,7.6,8.5,1.2,0.9,0.492,0.355,0.801,2.04,0.17,3.16,-0.4,0.41,1.01,-0.03,0.1,7.32
27,Brandon Miller,CHO,74,SF,26.5,6.5,3.6,1.4,0.9,0.44,0.373,0.827,1.24,-0.3,0.03,0.0,0.41,-0.35,0.31,0.41,3.05
28,Brook Lopez,MIL,79,C,19.7,8.2,2.5,0.9,3.8,0.485,0.366,0.821,-0.36,-1.89,-0.63,-0.77,1.7,-1.11,0.19,0.98,7.63
29,Bruce Brown,TOT,67,PG,18.6,7.3,4.9,1.5,0.4,0.478,0.323,0.824,-0.47,0.73,-1.32,0.0,-0.15,0.81,-1.27,-0.14,4.89
30,Bryce McGowens,CHO,59,SG,16.9,5.7,2.9,1.2,0.6,0.439,0.333,0.776,-0.87,-0.22,-0.94,-0.64,-0.24,-0.43,-0.83,-0.27,4.44
31,Buddy Hield,TOT,84,SF,22.5,6.0,5.2,1.6,0.9,0.436,0.386,0.881,0.55,-0.51,1.05,0.4,0.41,-0.46,0.55,1.05,4.98
32,CJ McCollum,NOP,66,PG,30.0,6.5,6.9,1.4,0.9,0.459,0.429,0.827,0.96,0.28,-0.53,-0.19,1.37,0.27,1.6,-0.1,5.3
33,Cade Cunningham,DET,62,PG,32.6,6.2,10.8,1.3,0.5,0.449,0.355,0.869,1.28,0.11,1.0,-0.38,0.15,-0.01,-0.41,0.45,3.79
34,Caleb Houstan,ORL,59,SF,15.4,5.1,1.8,0.9,0.2,0.388,0.373,0.808,-0.69,-0.89,-1.12,-1.01,-1.02,-1.71,0.31,0.18,6.93
35,Caleb Martin,MIA,64,SF,18.2,8.0,4.1,1.3,0.8,0.431,0.349,0.778,-0.2,0.34,0.35,-0.2,0.2,-0.59,-0.14,-0.18,2.2
36,Cam Thomas,BRK,66,SG,35.4,5.1,4.6,1.1,0.4,0.442,0.364,0.856,2.1,-0.55,-0.16,-0.85,-0.72,-0.34,-0.19,0.83,5.74
37,Cameron Johnson,BRK,58,PF,24.0,7.8,4.3,1.5,0.5,0.446,0.391,0.789,0.27,-0.61,0.13,0.5,-0.67,-0.44,0.27,0.48,3.37
38,Cameron Payne,TOT,78,PG,21.5,4.4,7.6,1.6,0.4,0.432,0.39,0.866,-0.11,-0.9,-0.26,0.19,-0.15,-0.5,0.54,0.41,3.06
39,Caris LeVert,CLE,68,SG,24.0,7.1,8.7,1.9,0.9,0.421,0.325,0.766,0.26,0.55,1.71,0.85,0.48,-0.94,-0.99,-0.41,6.19
40,Cason Wallace,OKC,82,SG,15.9,5.3,3.4,2.2,1.1,0.491,0.419,0.784,-1.04,-0.44,-0.71,1.49,0.96,1.06,0.95,-0.16,6.81
41,Cedi Osman,SAS,72,SF,18.3,6.7,4.5,1.3,0.4,0.479,0.389,0.673,-0.18,-0.21,0.61,-0.2,-0.61,0.67,0.6,-1.43,4.51
42,Chet Holmgren,OKC,82,C,27.0,12.9,4.0,1.1,3.8,0.53,0.37,0.793,0.83,-0.54,0.0,-0.39,1.7,-0.53,0.2,0.64,4.83
43,Chris Duarte,SAC,59,SF,15.5,7.2,3.0,1.9,0.5,0.381,0.346,0.788,-0.67,0.0,-0.35,1.01,-0.41,-1.89,-0.2,-0.06,4.59
44,Chris Paul,GSW,58,PG,16.8,7.1,12.4,2.2,0.2,0.441,0.371,0.827,-0.69,0.62,1.63,1.32,-0.76,-0.24,0.03,-0.1,5.39
45,Christian Braun,DEN,82,SG,18.0,9.2,4.0,1.3,1.0,0.46,0.384,0.694,-0.7,1.69,-0.43,-0.43,0.72,0.17,0.23,-1.39,5.76
46,Clint Capela,ATL,73,C,21.3,19.8,2.3,1.1,2.7,0.571,0.0,0.631,-0.1,1.43,-0.71,-0.39,0.77,0.0,-1.48,-1.38,6.26
47,Coby White,CHI,79,PG,26.1,6.2,7.0,0.9,0.3,0.447,0.376,0.838,0.47,0.11,-0.49,-1.13,-0.46,-0.07,0.16,0.05,2.94
48,Cole Anthony,ORL,81,PG,25.5,8.5,6.4,1.7,1.0,0.435,0.338,0.826,0.39,1.41,-0.73,0.38,1.67,-0.41,-0.87,-0.11,5.97
49,Collin Sexton,UTA,78,SG,33.9,4.8,8.9,1.4,0.4,0.487,0.394,0.859,1.85,-0.71,1.81,-0.21,-0.72,0.94,0.43,0.87,7.54
50,Corey Kispert,WAS,80,SF,24.2,5.1,3.5,0.9,0.4,0.486,0.383,0.726,0.84,-0.89,-0.03,-1.01,-0.61,0.85,0.49,-0.8,5.52
51,D'Angelo Russell,LAL,76,PG,26.2,4.5,9.2,1.3,0.7,0.456,0.415,0.828,0.48,-0.85,0.37,-0.38,0.76,0.19,1.22,-0.08,4.33
52,Dalen Terry,CHI,59,SG,13.2,8.3,5.9,2.0,1.3,0.439,0.23,0.581,-1.47,1.2,0.43,1.07,1.44,-0.43,-2.96,-2.95,11.95
53,Damian Lillard,MIL,73,PG,33.1,6.0,9.5,1.3,0.3,0.424,0.354,0.92,1.34,0.0,0.49,-0.38,-0.46,-0.73,-0.43,1.12,4.95
54,Daniel Gafford,TOT,74,C,21.2,14.6,3.0,1.7,4.0,0.725,,0.674,-0.11,-0.06,-0.42,0.77,1.87,1.99,3.0,-0.85,9.07
55,Daniel Theis,TOT,60,C,18.3,11.9,3.0,1.0,2.5,0.532,0.366,0.76,-0.58,-0.83,-0.42,-0.58,0.6,-0.5,0.19,0.22,3.92
56,Dario Å ariÄ,GSW,64,C,22.7,12.5,6.3,1.4,0.4,0.466,0.376,0.849,0.13,-0.66,0.96,0.19,-1.19,-1.36,0.23,1.33,6.05
57,David Roddy,TOT,65,PF,17.6,8.8,3.3,1.1,0.5,0.403,0.293,0.691,-0.56,-0.23,-0.31,-0.5,-0.67,-1.19,-1.07,-0.61,5.14
